Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,2,C1-C2,22pF,,
Capacitors,3,"C3-C4,C11",47u,Digikey P13464-ND,
Capacitors,2,"C5,C12",4u7,Digikey P14508-ND,
Capacitors,2,"C6,C10",104J,Maplin WX64U,
Capacitors,2,"C7,C9",224J,Maplin WX64U,
Capacitors,1,C8,10u,Digikey P13464-ND,
Resistors,5,"R1,R5,R11-R13",2.2k,,
Resistors,8,"R2-R3,R8-R10,R14,R51,R57",1k,,
Resistors,1,R4,10K,,
Resistors,1,R6,22k,M1k,
Resistors,1,R7,10k,M1k,
Resistors,6,"R15,R26,R31,R40,R55-R56",47k,,
Resistors,6,"R16,R47-R50,R52",10k,,
Resistors,5,"R17,R30,R34,R41-R42",10k,M10K,
Resistors,5,"R18-R20,R22,R27",4k7,M4K7,
Resistors,1,R21,47k,M47K,
Resistors,1,R23,56k,M47K,
Resistors,1,R24,56k,M56K,
Resistors,1,R25,22k,M56K,
Resistors,1,R28,2k2,M4K7,
Resistors,3,"R29,R32,R35",1k,M1k,
Resistors,1,R33,39R,M47K,
Resistors,8,"R36-R39,R43-R46",22R,M22R,
Resistors,2,R53-R54,330R,,
Integrated Circuits,3,"U1,U4-U5",EL817,,
Integrated Circuits,1,U2,LM2596 MODULE,,
Integrated Circuits,1,U3,ATMEGA328P,,
Integrated Circuits,1,U6,SG3526,,
Integrated Circuits,1,U7,7812,,
Transistors,4,"Q1-Q2,Q6,Q15",2N7000,,
Transistors,1,Q3,BD139,,
Transistors,1,Q4,D400,,
Transistors,1,Q5,IRF9640,,
Transistors,8,Q7-Q14,IRF3205,,
Transistors,1,Q17,BS250P,,
Diodes,3,"D1-D2,D5",1N4001,,
Diodes,1,D4,5MM LED,,
Diodes,5,D6-D10,1N4007,,
Miscellaneous,8,"30 VAC,COIL,CT,FAN,G. SENSE,KEY,NTC,SW",CONN-H2,,
Miscellaneous,1,AC IN,,,
Miscellaneous,1,AC OUT,TBLOCK-I2,,
Miscellaneous,4,"BATTERY CHARGE,CHANGE OVER,LINE 3,LINE 1 - 2",TEXTELL-KBH-12V,,
Miscellaneous,3,BR1-BR3,DF005M,,
Miscellaneous,1,BURDEN,33R,,
Miscellaneous,1,BUZZER,BUZZER,,
Miscellaneous,2,"GEN KEY,GEN SW",G3MB-202P_DC5,,
Miscellaneous,2,"GEN SIGNAL,LCD",CONN-H4,,
Miscellaneous,1,MODEM,SIM800L,,
Miscellaneous,2,"PWR BTN,RESET",SIL-156-02,,
Miscellaneous,2,"RADIO (HC-12 - 05),SERIAL PROG",CONN-H5,,
Miscellaneous,1,RV1,10K,Digikey 3252P-101LF-ND,
Miscellaneous,1,RV2,10k,Digikey 3252P-101LF-ND,
Miscellaneous,1,TRANSFORMER SEC,TBLOCK-I4,,
Miscellaneous,1,X1,CRYSTAL,RES038,
